tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
tcoffee,clustal,0.06861699999999998,-0.03546000000000005,-0.010892000000000013,-0.01796600000000001,-0.013087999999999989,1
tcoffee,muscle,0.04298000000000002,-0.03806300000000007,-0.02458300000000002,-0.013354000000000005,-0.025818999999999925,1
muscle,mafft,0.02012999999999998,-0.00926999999999989,0.021712999999999982,-0.011563999999999991,0.019683000000000006,0
muscle,clustal,0.025636999999999965,0.002603000000000022,0.013691000000000009,-0.004612000000000005,0.012730999999999937,0
muscle,tcoffee,-0.04298000000000002,0.03806300000000007,0.02458300000000002,0.013354000000000005,0.025818999999999925,0
mafft,clustal,0.029021999999999992,0.0006109999999999172,-0.017602999999999924,-0.012308000000000013,-0.01825500000000002,0
mafft,tcoffee,-0.004716999999999971,0.017468999999999957,-0.01386199999999993,-0.0005300000000000027,-0.011460999999999943,0
mafft,muscle,0.02459100000000003,-0.026478,-0.023897999999999975,-0.008079000000000003,-0.02248399999999995,1
clustal,mafft,-0.029021999999999992,-0.0006109999999999172,0.017602999999999924,0.012308000000000013,0.01825500000000002,1
clustal,tcoffee,-0.03373899999999996,0.01685800000000004,0.0037409999999999943,0.01177800000000001,0.006794000000000078,0
clustal,muscle,-0.004430999999999963,-0.02708899999999992,-0.0062950000000000506,0.0042290000000000105,-0.004228999999999927,1
tcoffee,mafft,0.004716999999999971,-0.017468999999999957,0.01386199999999993,0.0005300000000000027,0.011460999999999943,1
tcoffee,clustal,0.03373899999999996,-0.01685800000000004,-0.0037409999999999943,-0.01177800000000001,-0.006794000000000078,1
tcoffee,muscle,0.029308,-0.04394699999999996,-0.010036000000000045,-0.007549,-0.011023000000000005,1
muscle,mafft,-0.02459100000000003,0.026478,0.023897999999999975,0.008079000000000003,0.02248399999999995,0
muscle,clustal,0.004430999999999963,0.02708899999999992,0.0062950000000000506,-0.0042290000000000105,0.004228999999999927,0
muscle,tcoffee,-0.029308,0.04394699999999996,0.010036000000000045,0.007549,0.011023000000000005,0
mafft,clustal,0.005155000000000003,0.024970999999999965,-0.008869999999999989,0.018329000000000012,-0.01832899999999993,0
mafft,tcoffee,0.006950000000000001,0.001434999999999964,-0.019247000000000014,0.01872600000000002,-0.029415999999999998,0
mafft,muscle,-0.021907,0.0019169999999999465,-0.01758700000000002,0.022114000000000023,-0.02741899999999997,1
clustal,mafft,-0.005155000000000003,-0.024970999999999965,0.008869999999999989,-0.018329000000000012,0.01832899999999993,1
clustal,tcoffee,0.001794999999999998,-0.023536,-0.010377000000000025,0.00039700000000000846,-0.011087000000000069,1
clustal,muscle,-0.027062000000000003,-0.02305400000000002,-0.00871700000000003,0.0037850000000000106,-0.009090000000000042,1
tcoffee,mafft,-0.006950000000000001,-0.001434999999999964,0.019247000000000014,-0.01872600000000002,0.029415999999999998,1
tcoffee,clustal,-0.001794999999999998,0.023536,0.010377000000000025,-0.00039700000000000846,0.011087000000000069,0
tcoffee,muscle,-0.028857,0.00048199999999998244,0.0016599999999999948,0.003388000000000002,0.0019970000000000265,1
muscle,mafft,0.021907,-0.0019169999999999465,0.01758700000000002,-0.022114000000000023,0.02741899999999997,0
muscle,clustal,0.027062000000000003,0.02305400000000002,0.00871700000000003,-0.0037850000000000106,0.009090000000000042,0
muscle,tcoffee,0.028857,-0.00048199999999998244,-0.0016599999999999948,-0.003388000000000002,-0.0019970000000000265,0
mafft,clustal,0.001466999999999996,0.006879999999999997,0.0071390000000000065,0.0010259999999999991,-0.0010259999999999714,0
mafft,tcoffee,-0.04575400000000002,0.03198000000000001,-0.004145000000000065,0.011588999999999988,-0.0010529999999999706,0
mafft,muscle,-0.010440000000000005,0.008943999999999952,0.002606999999999915,0.0006839999999999902,-0.0006840000000000179,1
clustal,mafft,-0.001466999999999996,-0.006879999999999997,-0.0071390000000000065,-0.0010259999999999991,0.0010259999999999714,1
clustal,tcoffee,-0.04722100000000001,0.02510000000000001,-0.011284000000000072,0.010562999999999989,-2.6999999999999247e-05,0
clustal,muscle,-0.011907000000000001,0.0020639999999999548,-0.0045320000000000915,-0.00034200000000000896,0.00034199999999995345,1
tcoffee,mafft,0.04575400000000002,-0.03198000000000001,0.004145000000000065,-0.011588999999999988,0.0010529999999999706,1
tcoffee,clustal,0.04722100000000001,-0.02510000000000001,0.011284000000000072,-0.010562999999999989,2.6999999999999247e-05,1
tcoffee,muscle,0.03531400000000001,-0.023036000000000056,0.00675199999999998,-0.010904999999999998,0.0003689999999999527,1
muscle,mafft,0.010440000000000005,-0.008943999999999952,-0.002606999999999915,-0.0006839999999999902,0.0006840000000000179,0
muscle,clustal,0.011907000000000001,-0.0020639999999999548,0.0045320000000000915,0.00034200000000000896,-0.00034199999999995345,0
muscle,tcoffee,-0.03531400000000001,0.023036000000000056,-0.00675199999999998,0.010904999999999998,-0.0003689999999999527,0
mafft,clustal,0.0,0.0,0.0,0.0,0.0,0
mafft,tcoffee,-0.0039599999999999635,0.005999999999999894,-0.0009900000000000464,0.0,0.0,1
mafft,muscle,0.0,0.013999999999999901,0.0,0.0,0.0,1
clustal,mafft,0.0,0.0,0.0,0.0,0.0,0
clustal,tcoffee,-0.0039599999999999635,0.005999999999999894,-0.0009900000000000464,0.0,0.0,1
clustal,muscle,0.0,0.013999999999999901,0.0,0.0,0.0,1
tcoffee,mafft,0.0039599999999999635,-0.005999999999999894,0.0009900000000000464,0.0,0.0,0
tcoffee,clustal,0.0039599999999999635,-0.005999999999999894,0.0009900000000000464,0.0,0.0,0
tcoffee,muscle,0.0039599999999999635,0.008000000000000007,0.0009900000000000464,0.0,0.0,1
muscle,mafft,0.0,-0.013999999999999901,0.0,0.0,0.0,0
muscle,clustal,0.0,-0.013999999999999901,0.0,0.0,0.0,0
muscle,tcoffee,-0.0039599999999999635,-0.008000000000000007,-0.0009900000000000464,0.0,0.0,0
mafft,clustal,0.061950000000000005,-0.009348000000000023,-0.011935000000000029,-0.0036760000000000126,-0.019672000000000023,1
mafft,tcoffee,0.016408000000000034,0.015641000000000016,-0.01005199999999995,-0.00043699999999999295,-0.011083999999999983,1
mafft,muscle,0.03918700000000003,-0.03226499999999999,-0.03334199999999998,-0.005062000000000011,-0.036632,1
